'D(1), d
'D(2), ə d
'EM, ə m
'LL(1), l
'LL(2), ə l
'M, ə m
'RE, ə
'S(1), z
'S(2), s
'VE(1), v
'VE(2), ə v
A'S, ˈeɪ z
A(1), ə
A(2), ˈeɪ
AARON, ˈɛə ɹ ə n
ABANDON, ə b ˈæ n d ə n
ABANDONED, ə b ˈæ n d ə n d
ABBEY, ˈæ b iː
ABERDEEN, ˌæ b ə d ˈiː n
ABERDEENSHIRE, ˌæ b ə d ˈiː n ʃ ə
ABILITIES, ə b ˈɪ l ɪ t iː z
ABILITY, ə b ˈɪ l ɪ t iː
ABINGDON, ˈæ b ɪ ŋ d ə n
ABLE, ˈeɪ b ə l
ABNORMAL, æ b n ˈɔː m ə l
ABOARD, ə b ˈɔː d
ABOLITION, ˌæ b ə l ˈɪ ʃ ə n
ABORIGINAL, ˌæ b ə ɹ ˈɪ dʒ ɪ n ə l
ABORTION, ə b ˈɔː ʃ ə n
ABOUT, ə b ˈaʊ t
ABOVE, ə b ˈɐ v
ABRAHAM, ˈeɪ b ɹ ə h ˌæ m
ABROAD, ə b ɹ ˈɔː d
ABRUPTLY, ə b ɹ ˈɐ p t l iː
ABS, ˈæ b z
ABSENCE, ˈæ b s ə n s
ABSENT, ˈæ b s ə n t
ABSOLUTE, ˈæ b s ə l ˌuː t
ABSOLUTELY, ˌæ b s ə l ˈuː t l iː
ABSORBED, ə b z ˈɔː b d
ABSORPTION(1), ə b z ˈɒ ɹ p ʃ ə n
ABSORPTION(2), ə b s ˈɒ ɹ p ʃ ə n
ABSTRACT(1), æ b s t ɹ ˈæ k t
ABSTRACT(2), ˈæ b s t ɹ ˌæ k t
ABSTRACTS(1), ə b s t ɹ ˈæ k t s
ABSTRACTS(2), ˈæ b s t ɹ ˌæ k t s
ABSURD, ə b s ˈɜː d
ABUSE(1), ə b j ˈuː z
ABUSE(2), ə b j ˈuː s
ACADEMIC, ˌæ k ə d ˈɛ m ɪ k
ACADEMICS, ˌæ k ə d ˈɛ m ɪ k s
ACADEMY, ə k ˈæ d ə m iː
ACCELERATION, æ k s ˌɛ l ə ɹ ˈeɪ ʃ ə n
ACCELERATOR, æ k s ˈɛ l ə ɹ ˌeɪ t ə
ACCENT(1), ə k s ˈɛ n t
ACCENT(2), ˈæ k s ˌɛ n t
ACCENTS, ˈæ k s ɛ n t s
ACCEPT, ə k s ˈɛ p t
ACCEPTABLE, ə k s ˈɛ p t ə b ə l
ACCEPTANCE, ə k s ˈɛ p t ə n s
ACCEPTED, ə k s ˈɛ p t ɪ d
ACCEPTING, ə k s ˈɛ p t ɪ ŋ
ACCEPTS, ə k s ˈɛ p t s
ACCESS, ˈæ k s ˌɛ s
ACCESSED, ˈæ k s ˌɛ s t
ACCESSIBILITY, ˌæ k s ɛ s ɪ b ˈɪ l ɪ t iː
ACCESSIBLE, ə k s ˈɛ s ɪ b ə l
ACCESSING, ˈæ k s ˌɛ s ɪ ŋ
ACCESSORIES, æ k s ˈɛ s ə ɹ iː z
ACCESSORY, æ k s ˈɛ s ə ɹ iː
ACCIDENT, ˈæ k s ɪ d ə n t
ACCIDENTS, ˈæ k s ɪ d ə n t s
ACCOMMODATE, ə k ˈɒ m ə d ˌeɪ t
ACCOMMODATION, ə k ˌɒ m ə d ˈeɪ ʃ ə n
ACCOMMODATIONS, ə k ˌɒ m ə d ˈeɪ ʃ ə n z
ACCOMPANIED, ə k ˈɐ m p ə n ɪ d
ACCOMPANY, ə k ˈɐ m p ə n iː
ACCOMPANYING, ə k ˈɐ m p ə n iː ɪ ŋ
ACCOMPLISH, ə k ˈɒ m p l ɪ ʃ
ACCOMPLISHED, ə k ˈɒ m p l ɪ ʃ t
ACCORDANCE, ə k ˈɔː d ə n s
ACCORDING, ə k ˈɔː d ɪ ŋ
ACCORDINGLY, ə k ˈɔː d ɪ ŋ l iː
ACCOUNT, ə k ˈaʊ n t
ACCOUNTABILITY, ə k aʊ n t ə b ˈɪ l ɪ t iː
ACCOUNTANT, ə k ˈaʊ n t ə n t
ACCOUNTANTS, ə k ˈaʊ n t ə n t s
ACCOUNTING, ə k ˈaʊ n t ɪ ŋ
ACCOUNTS, ə k ˈaʊ n t s
ACCREDITATION, ə k ɹ ˌɛ d ɪ t ˈeɪ ʃ ə n
ACCREDITED, ə k ɹ ˈɛ d ɪ t ɪ d
ACCUMULATION, ə k j ˌuː m j ʊ l ˈeɪ ʃ ə n
ACCURACY, ˈæ k j ʊ ɹ ə s iː
ACCURATE, ˈæ k j ʊ ɹ ə t
ACCURATELY, ˈæ k j ʊ ɹ ə t l iː
ACCUSE, ə k j ˈuː z
ACCUSED, ə k j ˈuː z d
ACE, ˈeɪ s
ACER, ˈeɪ s ə
ACHE, ˈeɪ k
ACHIEVE, ə tʃ ˈiː v
ACHIEVED, ə tʃ ˈiː v d
ACHIEVEMENT, ə tʃ ˈiː v m ə n t
ACHIEVEMENTS, ə tʃ ˈiː v m ə n t s
ACHIEVING, ə tʃ ˈiː v ɪ ŋ
ACID, ˈæ s ɪ d
ACIDS, ˈæ s ɪ d z
ACKNOWLEDGE, ə k n ˈɒ l ɪ dʒ
ACKNOWLEDGED, ə k n ˈɒ l ɪ dʒ d
ACNE, ˈæ k n iː
ACOUSTIC, ə k ˈuː s t ɪ k
ACQUIRE, ə k w ˈaɪ ə
ACQUIRED, ə k w ˈaɪ ə d
ACQUISITION, ˌæ k w ɪ z ˈɪ ʃ ə n
ACQUISITIONS, ˌæ k w ɪ z ˈɪ ʃ ə n z
ACRE, ˈeɪ k ə
ACRES, ˈeɪ k ə z
ACROBAT, ˈæ k ɹ ə b ˌæ t
ACROSS, ə k ɹ ˈɒ s
ACRYLIC, ə k ɹ ˈɪ l ɪ k
ACT, ˈæ k t
ACTED, ˈæ k t ɪ d
ACTING, ˈæ k t ɪ ŋ
ACTION, ˈæ k ʃ ə n
ACTIONS, ˈæ k ʃ ə n z
ACTIVATED, ˈæ k t ɪ v ˌeɪ t ɪ d
ACTIVATION, ˌæ k t ɪ v ˈeɪ ʃ ə n
ACTIVE, ˈæ k t ɪ v
ACTIVELY, ˈæ k t ɪ v l iː
ACTIVISTS, ˈæ k t ɪ v ɪ s t s
ACTIVITIES, æ k t ˈɪ v ɪ t iː z
ACTIVITY, æ k t ˈɪ v ɪ t iː
ACTOR, ˈæ k t ə
ACTORS, ˈæ k t ə z
ACTRESS, ˈæ k t ɹ ə s
ACTS, ˈæ k t s
ACTUAL, ˈæ k tʃ ʊə l
ACTUALLY, ˈæ k tʃ ʊə l iː
ACUTE, ə k j ˈuː t
AD, ˈæ d
ADA, ˈeɪ d ə
ADAM, ˈæ d ə m
ADAMS, ˈæ d ə m z
ADAPT, ə d ˈæ p t
ADAPTATION, ˌæ d ə p t ˈeɪ ʃ ə n
ADAPTED, ə d ˈæ p t ɪ d
ADAPTER, ə d ˈæ p t ə
ADAPTERS, ə d ˈæ p t ə z
ADAPTIVE, ə d ˈæ p t ɪ v
ADAPTOR, ə d ˈɑː p t ə
ADD, ˈæ d
ADDED, ˈæ d ɪ d
ADDICTION, ə d ˈɪ k ʃ ə n
ADDING, ˈæ d ɪ ŋ
ADDITION, ə d ˈɪ ʃ ə n
ADDITIONAL(1), ə d ˈɪ ʃ n ə l
ADDITIONAL(2), ə d ˈɪ ʃ ə n ə l
ADDITIONALLY(1), ə d ˈɪ ʃ n ə l iː
ADDITIONALLY(2), ə d ˈɪ ʃ ə n ə l iː
ADDITIONS, ə d ˈɪ ʃ ə n z
ADDRESS, ə d ɹ ˈɛ s
ADDRESSED, ə d ɹ ˈɛ s t
ADDRESSES, ə d ɹ ˈɛ s ɪ z
ADDRESSING, ə d ɹ ˈɛ s ɪ ŋ
ADDS, ˈæ d z
ADELAIDE, ˈæ d ə l ˌeɪ d
ADEQUATE, ˈæ d ɪ k w ə t
ADEQUATELY, ˈæ d ɪ k w ə t l iː
ADIDAS, ˈæ d ɪ d ə s
ADJACENT, ə dʒ ˈeɪ s ə n t
ADJUST, ə dʒ ˈɐ s t
ADJUSTABLE, ə dʒ ˈɐ s t ə b ə l
ADJUSTED, ə dʒ ˈɐ s t ɪ d
ADJUSTMENT, ə dʒ ˈɐ s t m ə n t
ADJUSTMENTS, ə dʒ ˈɐ s t m ə n t s
ADMIN, ˈæ d m ɪ n
ADMINISTERED, ə d m ˈɪ n ɪ s t ə d
ADMINISTRATION, ə d m ˌɪ n ɪ s t ɹ ˈeɪ ʃ ə n
ADMINISTRATIVE, ə d m ˈɪ n ɪ s t ɹ ə t ɪ v
ADMINISTRATOR, ə d m ˈɪ n ɪ s t ɹ ˌeɪ t ə
ADMINISTRATORS, ə d m ˈɪ n ɪ s t ɹ ˌeɪ t ə z
ADMIRAL, ˈæ d m ə ɹ ə l
ADMIRATION, ˌæ d m ɪ ɹ ˈeɪ ʃ ə n
ADMIRE, ə d m ˈaɪ ə
ADMISSION, ə d m ˈɪ ʃ ə n
ADMISSIONS(1), æ d m ˈɪ ʃ ə n z
ADMISSIONS(2), ə d m ˈɪ ʃ ə n z
ADMIT, ə d m ˈɪ t
