'COS, k ˈə z
'D(1), d
'D(2), ə d
'EM, ə m
'LL(1), l
'LL(2), ə l
'M, ə m
'RE, ə
'S(1), z
'S(2), s
'VE(1), v
'VE(2), ə v
A'S, ˈeɪ z
A(1), ə
A(2), ˈeɪ
AARON, ˈɛə ɹ ə n
ABACK, ə b ˈæ k
ABANDON, ə b ˈæ n d ə n
ABANDONED, ə b ˈæ n d ə n d
ABATE, ə b ˈeɪ t
ABBEY, ˈæ b i
ABBOT, ˈæ b ə t
ABBREVIATE, ə b ɹ ˈiː v ɪ ˌeɪ t
ABDOMINAL, æ b d ˈɒ m ɪ n ə l
ABEL, ˈeɪ b ə l
ABERDEEN, ˌæ b ə d ˈiː n
ABERDEENSHIRE, ˌæ b ə d ˈiː n ʃ ə
ABET, ə b ˈɛ t
ABHOR, ə b h ˈɔː
ABIDE, ə b ˈaɪ d
ABILITIES, ə b ˈɪ l ɪ t i z
ABILITY, ə b ˈɪ l ɪ t i
ABINGDON, ˈæ b ɪ ŋ d ə n
ABLE, ˈeɪ b ə l
ABLY, ˈeɪ b l i
ABNORMAL, æ b n ˈɔː m ə l
ABOARD, ə b ˈɔː d
ABODE, ə b ˈəʊ d
ABOLISH, ə b ˈɒ l ɪ ʃ
ABOLITION, ˌæ b ə l ˈɪ ʃ ə n
ABORIGINAL, ˌæ b ə ɹ ˈɪ dʒ ɪ n ə l
ABORT, ə b ˈɔː t
ABORTION, ə b ˈɔː ʃ ə n
ABOUT, ə b ˈaʊ t
ABOVE, ə b ˈɐ v
ABRAHAM, ˈeɪ b ɹ ə h ˌæ m
ABROAD, ə b ɹ ˈɔː d
ABRUPTLY, ə b ɹ ˈɐ p t l i
ABS, ˈæ b z
ABSCOND, ə b s k ˈɒ n d
ABSENCE, ˈæ b s ə n s
ABSENT, ˈæ b s ə n t
ABSOLUTE, ˈæ b s ə l ˌuː t
ABSOLUTELY, ˌæ b s ə l ˈuː t l i
ABSORB, ə b z ˈɔː b
ABSORBED, ə b z ˈɔː b d
ABSORPTION(1), ə b z ˈɔː p ʃ ə n
ABSORPTION(2), ə b s ˈɔː p ʃ ə n
ABSTINENCE, ˈæ b s t ɪ n ə n s
ABSTRACT(1), æ b s t ɹ ˈæ k t
ABSTRACT(2), ˈæ b s t ɹ ˌæ k t
ABSTRACTS(1), ə b s t ɹ ˈæ k t s
ABSTRACTS(2), ˈæ b s t ɹ ˌæ k t s
ABSURD, ə b s ˈɜː d
ABUNDANCE, ə b ˈɐ n d ə n s
ABUNDANT, ə b ˈɐ n d ə n t
ABUSE(1), ə b j ˈuː z
ABUSE(2), ə b j ˈuː s
ABYSMAL, ə b ˈɪ s m ə l
ABYSS, ə b ˈɪ s
ACADEMIC, ˌæ k ə d ˈɛ m ɪ k
ACADEMICS, ˌæ k ə d ˈɛ m ɪ k s
ACADEMY, ə k ˈæ d ə m i
ACCELERATE, æ k s ˈɛ l ə ɹ ˌeɪ t
ACCELERATION, æ k s ˌɛ l ə ɹ ˈeɪ ʃ ə n
ACCELERATOR, æ k s ˈɛ l ə ɹ ˌeɪ t ə
ACCENT(1), ə k s ˈɛ n t
ACCENT(2), ˈæ k s ˌɛ n t
ACCENTS, ˈæ k s ɛ n t s
ACCEPT, ə k s ˈɛ p t
ACCEPTABLE, ə k s ˈɛ p t ə b ə l
ACCEPTABLY, ə k s ˈɛ p t ə b l i
ACCEPTANCE, ə k s ˈɛ p t ə n s
ACCEPTED, ə k s ˈɛ p t ɪ d
ACCEPTING, ə k s ˈɛ p t ɪ ŋ
ACCEPTS, ə k s ˈɛ p t s
ACCESS, ˈæ k s ˌɛ s
ACCESSED, ˈæ k s ˌɛ s t
ACCESSES, ˈæ k s ˌɛ s ɪ z
ACCESSIBILITY, ˌæ k s ɛ s ɪ b ˈɪ l ɪ t i
ACCESSIBLE, ə k s ˈɛ s ɪ b ə l
ACCESSING, ˈæ k s ˌɛ s ɪ ŋ
ACCESSORIES, æ k s ˈɛ s ə ɹ i z
ACCESSORY, æ k s ˈɛ s ə ɹ i
ACCIDENT, ˈæ k s ɪ d ə n t
ACCIDENTALLY, ˌæ k s ɪ d ˈɛ n t ə l i
ACCIDENTS, ˈæ k s ɪ d ə n t s
ACCOMMODATE, ə k ˈɒ m ə d ˌeɪ t
ACCOMMODATION, ə k ˌɒ m ə d ˈeɪ ʃ ə n
ACCOMMODATIONS, ə k ˌɒ m ə d ˈeɪ ʃ ə n z
ACCOMPANIED, ə k ˈɐ m p ə n i d
ACCOMPANY, ə k ˈɐ m p ə n i
ACCOMPANYING, ə k ˈɐ m p ə n i ɪ ŋ
ACCOMPLISH, ə k ˈɒ m p l ɪ ʃ
ACCOMPLISHED, ə k ˈɒ m p l ɪ ʃ t
ACCORD, ə k ˈɔː d
ACCORDANCE, ə k ˈɔː d ə n s
ACCORDED, ə k ˈɔː d ɪ d
ACCORDING, ə k ˈɔː d ɪ ŋ
ACCORDINGLY, ə k ˈɔː d ɪ ŋ l i
ACCORDION, ə k ˈɔː d ɪə n
ACCORDS, ə k ˈɔː d z
ACCOUNT, ə k ˈaʊ n t
ACCOUNTABILITY, ə k aʊ n t ə b ˈɪ l ɪ t i
ACCOUNTANT, ə k ˈaʊ n t ə n t
ACCOUNTANTS, ə k ˈaʊ n t ə n t s
ACCOUNTING, ə k ˈaʊ n t ɪ ŋ
ACCOUNTS, ə k ˈaʊ n t s
ACCREDITATION, ə k ɹ ˌɛ d ɪ t ˈeɪ ʃ ə n
ACCREDITED, ə k ɹ ˈɛ d ɪ t ɪ d
ACCUMULATE, ə k j ˈuː m j ʊ l ˌeɪ t
ACCUMULATION, ə k j ˌuː m j ʊ l ˈeɪ ʃ ə n
ACCURACY, ˈæ k j ʊ ɹ ə s i
ACCURATE, ˈæ k j ʊ ɹ ɪ t
ACCURATELY, ˈæ k j ʊ ɹ ɪ t l i
ACCUSATION, ˌæ k j ʊ z ˈeɪ ʃ ə n
ACCUSE, ə k j ˈuː z
ACCUSED, ə k j ˈuː z d
ACE, ˈeɪ s
ACER, ˈeɪ s ə
ACHE, ˈeɪ k
ACHIEVE, ə tʃ ˈiː v
ACHIEVED, ə tʃ ˈiː v d
ACHIEVEMENT, ə tʃ ˈiː v m ə n t
ACHIEVEMENTS, ə tʃ ˈiː v m ə n t s
ACHIEVING, ə tʃ ˈiː v ɪ ŋ
ACID, ˈæ s ɪ d
ACIDIC, ə s ˈɪ d ɪ k
ACIDS, ˈæ s ɪ d z
ACKNOWLEDGE, ə k n ˈɒ l ɪ dʒ
ACKNOWLEDGED, ə k n ˈɒ l ɪ dʒ d
ACKNOWLEDGEMENT, ə k n ˈɒ l ɪ dʒ m ə n t
ACKNOWLEDGMENT, ə k n ˈɒ l ɪ dʒ m ə n t
ACNE, ˈæ k n i
ACORN, ˈeɪ k ɔː n
ACOUSTIC, ə k ˈuː s t ɪ k
ACQUAINTANCE, ə k w ˈeɪ n t ə n s
ACQUIESCE, ˌæ k w ɪ ˈɛ s
ACQUIRE, ə k w ˈaɪ ə
ACQUIRED, ə k w ˈaɪ ə d
ACQUISITION, ˌæ k w ɪ z ˈɪ ʃ ə n
ACQUISITIONS, ˌæ k w ɪ z ˈɪ ʃ ə n z
ACQUIT, ə k w ˈɪ t
ACQUITTED, ə k w ˈɪ t ɪ d
ACRE, ˈeɪ k ə
ACRES, ˈeɪ k ə z
ACROBAT, ˈæ k ɹ ə b ˌæ t
ACROSS, ə k ɹ ˈɒ s
ACRYLIC, ə k ɹ ˈɪ l ɪ k
ACT, ˈæ k t
ACTED, ˈæ k t ɪ d
ACTING, ˈæ k t ɪ ŋ
ACTION, ˈæ k ʃ ə n
ACTIONS, ˈæ k ʃ ə n z
ACTIVATE, ˈæ k t ɪ v ˌeɪ t
ACTIVATED, ˈæ k t ɪ v ˌeɪ t ɪ d
ACTIVATION, ˌæ k t ɪ v ˈeɪ ʃ ə n
ACTIVE, ˈæ k t ɪ v
ACTIVELY, ˈæ k t ɪ v l i
ACTIVIST, ˈæ k t ɪ v ɪ s t
ACTIVISTS, ˈæ k t ɪ v ɪ s t s
ACTIVITIES, æ k t ˈɪ v ɪ t i z
ACTIVITY, æ k t ˈɪ v ɪ t i
ACTOR, ˈæ k t ə
ACTORS, ˈæ k t ə z
ACTRESS, ˈæ k t ɹ ɪ s
ACTS, ˈæ k t s
ACTUAL, ˈæ k tʃ ʊə l
ACTUALLY, ˈæ k tʃ ʊə l i
ACUTE, ə k j ˈuː t
AD, ˈæ d
ADA, ˈeɪ d ə
ADAGE, ˈæ d ɪ dʒ
ADAM, ˈæ d ə m
ADAMANT, ˈæ d ə m ə n t
ADAMS, ˈæ d ə m z
ADAPT, ə d ˈæ p t
ADAPTATION, ˌæ d ə p t ˈeɪ ʃ ə n
ADAPTED, ə d ˈæ p t ɪ d
ADAPTER, ə d ˈæ p t ə
ADAPTERS, ə d ˈæ p t ə z
ADAPTIVE, ə d ˈæ p t ɪ v
ADAPTOR, ə d ˈɑː p t ə
ADD, ˈæ d
ADDED, ˈæ d ɪ d
ADDENDA, ə d ˈɛ n d ə
ADDENDUM, ə d ˈɛ n d ə m
ADDER, ˈæ d ə
ADDICTION, ə d ˈɪ k ʃ ə n
ADDING, ˈæ d ɪ ŋ
ADDITION, ə d ˈɪ ʃ ə n
ADDITIONAL(1), ə d ˈɪ ʃ n ə l
ADDITIONAL(2), ə d ˈɪ ʃ ə n ə l
ADDITIONALLY(1), ə d ˈɪ ʃ n ə l i
ADDITIONALLY(2), ə d ˈɪ ʃ ə n ə l i
ADDITIONS, ə d ˈɪ ʃ ə n z
ADDRESS, ə d ɹ ˈɛ s
ADDRESSED, ə d ɹ ˈɛ s t
ADDRESSES, ə d ɹ ˈɛ s ɪ z
