ABILITIES, ə b ˈɪ l ɪ t iː z
ABORIGINAL, ˌæ b ə ɹ ˈɪ dʒ ɪ n ə l
ABORTION, ə b ˈɔː ʃ ə n
ABSTRACTS(1), ə b s t ɹ ˈæ k t s
ABSTRACTS(2), ˈæ b s t ɹ ˌæ k t s
ACADEMY, ə k ˈæ d ə m iː
ACCEPTING, ə k s ˈɛ p t ɪ ŋ
ACCESSED, ˈæ k s ˌɛ s t
ACCESSIBILITY, ˌæ k s ɛ s ɪ b ˈɪ l ɪ t iː
ACCESSING, ˈæ k s ˌɛ s ɪ ŋ
ACCESSORIES, æ k s ˈɛ s ə ɹ iː z
ACCESSORY, æ k s ˈɛ s ə ɹ iː
ACCOMMODATE, ə k ˈɒ m ə d ˌeɪ t
ACCOMMODATIONS, ə k ˌɒ m ə d ˈeɪ ʃ ə n z
ACCOMPLISHED, ə k ˈɒ m p l ɪ ʃ t
ACCORDANCE, ə k ˈɔː d ə n s
ACCORDING, ə k ˈɔː d ɪ ŋ
ACCOUNTABILITY, ə k aʊ n t ə b ˈɪ l ɪ t iː
ACCOUNTING, ə k ˈaʊ n t ɪ ŋ
ACCREDITED, ə k ɹ ˈɛ d ɪ t ɪ d
ACCUSED, ə k ˈjuː z d
ACER, ˈeɪ s ə
ACIDS, ˈæ s ɪ d z
ACOUSTIC, ə k ˈuː s t ɪ k
ACROBAT, ˈæ k ɹ ə b ˌæ t
ACTIVATED, ˈæ k t ɪ v ˌeɪ t ɪ d
ACTIVATION, ˌæ k t ɪ v ˈeɪ ʃ ə n
ACTRESS, ˈæ k t ɹ ə s
AD, ˈæ d
ADA, ˈeɪ d ə
ADAMS, ˈæ d ə m z
ADAPTER, ə d ˈæ p t ə
ADAPTERS, ə d ˈæ p t ə z
ADDICTION, ə d ˈɪ k ʃ ə n
ADDITIONALLY(1), ə d ˈɪ ʃ ə n ə l iː
ADDITIONALLY(2), ə d ˈɪ ʃ n ə l iː
ADDITIONS, ə d ˈɪ ʃ ə n z
ADDRESSED, ə d ɹ ˈɛ s t
ADDRESSES, ə d ɹ ˈɛ s ɪ z
ADDRESSING, ə d ɹ ˈɛ s ɪ ŋ
ADELAIDE, ˈæ d ə l ˌeɪ d
ADIDAS, ˈæ d ɪ d ə s
ADJACENT, ə dʒ ˈeɪ s ə n t
ADJUST, ə dʒ ˈɐ s t
ADJUSTABLE, ə dʒ ˈɐ s t ə b ə l
ADJUSTED, ə dʒ ˈɐ s t ɪ d
ADJUSTMENT, ə dʒ ˈɐ s t m ə n t
ADMINISTERED, ə d m ˈɪ n ɪ s t ə d
ADMINISTRATOR, ə d m ˈɪ n ɪ s t ɹ ˌeɪ t ə
ADMINISTRATORS, ə d m ˈɪ n ɪ s t ɹ ˌeɪ t ə z
ADMISSIONS(1), æ d m ˈɪ ʃ ə n z
ADMISSIONS(2), ə d m ˈɪ ʃ ə n z
ADOBE, ə d ˈəʊ b iː
ADS, ˈæ d z
ADVANCES, ə d v ˈɑː n s ɪ z
ADVENTURES, ə d v ˈɛ n tʃ ə z
ADVERSE(1), ˈæ d v ɜː s
ADVERSE(2), æ d v ˈɜː s
ADVERTISE, ˈæ d v ə t ˌaɪ z
ADVERTISEMENT(1), ə d v ˈɜː t ɪ s m ə n t
ADVERTISEMENT(2), ə d v ˈɜː t ɪ z m ə n t
ADVERTISEMENTS(1), ə d v ˈɜː t ɪ s m ə n t s
ADVERTISEMENTS(2), ə d v ˈɜː t ɪ z m ə n t s
ADVERTISER, ˈæ d v ə t ˌaɪ z ə
ADVERTISERS, ˈæ d v ə t ˌaɪ z ə z
ADVISED, ə d v ˈaɪ z d
ADVISOR, ə d v ˈaɪ z ə
ADVOCACY, ˈæ d v ə k ə s iː
ADVOCATE(1), ˈæ d v ə k ˌeɪ t
ADVOCATE(2), ˈæ d v ə k ɪ t
AFFECTS, ə f ˈɛ k t s
AFFILIATE(1), ə f ˈɪ l ɪ ˌeɪ t
AFFILIATE(2), ə f ˈɪ l ɪə t
AFFILIATED, ə f ˈɪ l ɪ ˌeɪ t ɪ d
AFFILIATES(1), ə f ˈɪ l ɪ ˌeɪ t s
AFFILIATES(2), ə f ˈɪ l ɪə t s
AFFORDABLE, ə f ˈɔː d ə b ə l
AFGHANISTAN(1), æ f g ˈæ n ɪ s t ˌɑː n
AFGHANISTAN(2), æ f g ˈæ n ɪ s t ˌæ n
AGGREGATE(1), ˈæ g ɹ ɪ g ˌeɪ t
AGGREGATE(2), ˈæ g ɹ ɪ g ɪ t
AGREES, ə g ɹ ˈiː z
AIRFARE, ˈɛə f ˌɛə
AIRLINE, ˈɛə l ˌaɪ n
AIRLINES, ˈɛə l ˌaɪ n z
AIRPORTS, ˈɛə p ˌɔː t s
ALASKA, ə l ˈæ s k ə
ALBANY, ˈɔː l b ə n iː
ALBERTA, æ l b ˈɜː t ə
ALBUMS, ˈæ l b ə m z
ALBUQUERQUE, ˈæ l b ə k ˌɜː k iː
ALERT, ə l ˈɜː t
ALERTS, ə l ˈɜː t s
ALFRED, ˈæ l f ɹ ɪ d
ALGORITHM, ˈæ l g ə ɹ ˌɪ ð ə m
ALGORITHMS, ˈæ l g ə ɹ ˌɪ ð ə m z
ALI, ˈɑː l iː
ALIAS, ˈeɪ l ɪə s
ALIEN, ˈeɪ l ɪə n
ALIGNMENT, ə l ˈaɪ n m ə n t
ALLIED(1), ˈæ l ˌaɪ d
ALLIED(2), ə l ˈaɪ d
ALLOCATED, ˈæ l ə k ˌeɪ t ɪ d
ALPHABETICAL, ˌæ l f ə b ˈɛ t ɪ k ə l
ALPINE, ˈæ l p ˌaɪ n
ALTERNATE(1), ˈɔː l t ə n ˌeɪ t
ALTERNATE(2), ˈɔː l t ə n ə t
