Spoken	Count	Coverage	Cummulative
be	1808674	0.0647	0.0647
the	1143515	0.0409	0.1057
and	823251	0.0295	0.1352
you	777402	0.0278	0.1630
it	731704	0.0262	0.1892
to	707335	0.0253	0.2145
a	596798	0.0214	0.2359
have	554617	0.0199	0.2557
of	528465	0.0189	0.2746
do	512961	0.0184	0.2930
that	450257	0.0161	0.3091
in	397479	0.0142	0.3233
we	337825	0.0121	0.3354
n't	324211	0.0116	0.3470
they	292766	0.0105	0.3575
know	246798	0.0088	0.3664
get	238467	0.0085	0.3749
so	218537	0.0078	0.3827
but	217206	0.0078	0.3905
on	215895	0.0077	0.3982
go	207866	0.0074	0.4057
pause	207397	0.0074	0.4131
he	197751	0.0071	0.4202
unclear	197209	0.0071	0.4272
for	192058	0.0069	0.4341
like	180225	0.0065	0.4405
this	178467	0.0064	0.4469
think	177838	0.0064	0.4533
there	177229	0.0063	0.4596
will	169595	0.0061	0.4657
say	160824	0.0058	0.4715
what	157521	0.0056	0.4771
just	151677	0.0054	0.4825
not	151492	0.0054	0.4880
well	149991	0.0054	0.4933
er	149077	0.0053	0.4987
one	146320	0.0052	0.5039
oh	143935	0.0052	0.5091
with	141901	0.0051	0.5141
if	136427	0.0049	0.5190
at	132292	0.0047	0.5238
all	124996	0.0045	0.5282
about	124039	0.0044	0.5327
or	123818	0.0044	0.5371
as	117677	0.0042	0.5413
she	116809	0.0042	0.5455
erm	107491	0.0038	0.5494
then	104162	0.0037	0.5531
would	102993	0.0037	0.5568
uh	101457	0.0036	0.5604
right	97094	0.0035	0.5639
can	95416	0.0034	0.5673
no	95117	0.0034	0.5707
up	92038	0.0033	0.5740
them	87698	0.0031	0.5771
out	87527	0.0031	0.5803
mean	86763	0.0031	0.5834
see	86475	0.0031	0.5865
my	86364	0.0031	0.5896
thing	84369	0.0030	0.5926
yes	82532	0.0030	0.5955
when	82314	0.0029	0.5985
really	80617	0.0029	0.6014
me	79878	0.0029	0.6042
come	76693	0.0027	0.6070
because	76441	0.0027	0.6097
your	75356	0.0027	0.6124
now	74985	0.0027	0.6151
want	74228	0.0027	0.6177
some	71629	0.0026	0.6203
good	71149	0.0025	0.6229
from	70118	0.0025	0.6254
time	67615	0.0024	0.6278
people	67137	0.0024	0.6302
very	65666	0.0024	0.6325
yeah	64384	0.0023	0.6348
make	60698	0.0022	0.6370
look	60282	0.0022	0.6392
an	59945	0.0021	0.6413
two	59209	0.0021	0.6434
take	58659	0.0021	0.6455
here	58292	0.0021	0.6476
which	56385	0.0020	0.6496
could	54795	0.0020	0.6516
more	53313	0.0019	0.6535
work	52957	0.0019	0.6554
other	50868	0.0018	0.6572
laugh	50332	0.0018	0.6590
who	49728	0.0018	0.6608
where	47701	0.0017	0.6625
use	47463	0.0017	0.6642
something	47323	0.0017	0.6659
how	46867	0.0017	0.6676
back	46403	0.0017	0.6693
year	46397	0.0017	0.6709
by	45185	0.0016	0.6725
any	44711	0.0016	0.6741
lot	44638	0.0016	0.6757
way	44409	0.0016	0.6773
put	44367	0.0016	0.6789
her	42019	0.0015	0.6804
down	41326	0.0015	0.6819
give	40393	0.0014	0.6833
sort	39743	0.0014	0.6848
these	38909	0.0014	0.6862
our	38113	0.0014	0.6875
much	37606	0.0013	0.6889
their	37397	0.0013	0.6902
actually	37389	0.0013	0.6915
those	37174	0.0013	0.6929
need	36363	0.0013	0.6942
his	35768	0.0013	0.6955
him	35707	0.0013	0.6967
um	35556	0.0013	0.6980
talk	35449	0.0013	0.6993
three	34811	0.0012	0.7005
kind	34487	0.0012	0.7018
i	34105	0.0012	0.7030
tell	34001	0.0012	0.7042
only	33661	0.0012	0.7054
should	32941	0.0012	0.7066
over	32556	0.0012	0.7077
little	32479	0.0012	0.7089
ca	32410	0.0012	0.7101
day	32386	0.0012	0.7112
into	32161	0.0012	0.7124
bit	31582	0.0011	0.7135
try	30730	0.0011	0.7146
why	30620	0.0011	0.7157
okay	30343	0.0011	0.7168
n	30097	0.0011	0.7179
us	30010	0.0011	0.7189
off	29808	0.0011	0.7200
first	27768	0.0010	0.7210
than	27474	0.0010	0.7220
too	27189	0.0010	0.7230
t	27021	0.0010	0.7239
let	25651	0.0009	0.7248
call	25549	0.0009	0.7258
five	25224	0.0009	0.7267
last	24894	0.0009	0.7276
start	24460	0.0009	0.7284
quite	24409	0.0009	0.7293
still	23698	0.0008	0.7302
four	23431	0.0008	0.7310
probably	23378	0.0008	0.7318
even	23310	0.0008	0.7327
gonna	23248	0.0008	0.7335
find	23202	0.0008	0.7343
might	23132	0.0008	0.7352
through	22967	0.0008	0.7360
point	22782	0.0008	0.7368
cos	22766	0.0008	0.7376
anything	22433	0.0008	0.7384
laughter	22259	0.0008	0.7392
week	22133	0.0008	0.7400
before	22056	0.0008	0.7408
again	21975	0.0008	0.7416
problem	21721	0.0008	0.7424
never	21410	0.0008	0.7431
same	21374	0.0008	0.7439
big	21253	0.0008	0.7446
ask	20821	0.0007	0.7454
question	20753	0.0007	0.7461
also	20738	0.0007	0.7469
different	20737	0.0007	0.7476
sure	20683	0.0007	0.7484
